#{"t_start": 1785149413.770294, "env_id": "None"}
r,l,t
-295.212258,52,15.645619
-278.955634,52,15.65401
-271.823616,52,15.662214
-273.243502,52,15.67051
-276.257404,52,15.716799
-453.269711,52,15.725204
-278.53044,52,15.733363
-272.982119,52,15.74161
-274.62963,52,15.74973
-602.185039,52,15.795974
-287.606782,52,15.804443
-273.344373,52,15.812699
-257.917443,52,15.821136
-279.276718,52,15.829339
-257.234852,52,15.875533
-289.92317,52,15.88387
-265.351793,52,15.892108
-309.834407,52,15.900305
-254.328093,52,15.908667
-288.97005,52,15.955263
-261.738035,52,15.963508
-258.423045,52,15.971868
-514.909008,52,15.980094
-283.899055,52,15.988489
-263.499121,52,16.034852
-301.136947,52,16.043199
-279.067038,52,16.051419
-301.816095,52,16.059588
-290.573321,52,16.067757
-281.371093,52,16.113673
-277.69661,52,16.122106
-284.728894,52,16.130321
-293.653391,52,16.138563
-278.535674,52,16.146712
-471.817527,52,16.193054
-272.981818,52,16.201388
-249.431285,52,16.209717
-276.682373,52,16.217964
-337.818877,52,16.226134
-282.367305,52,16.272273
-282.254553,52,16.280473
-249.668557,52,16.288652
-356.259217,52,16.296769
-267.066949,52,16.305139
-291.640447,52,16.351416
-281.742895,52,16.359663
-276.552246,52,16.367904
-280.983409,52,16.376211
-280.050217,52,16.384412
-255.910115,52,16.430801
-277.756692,52,16.439108
-277.565253,52,16.447271
-275.737263,52,16.455587
-306.325939,52,16.463796
-493.646864,52,16.510044
-359.458038,52,16.518412
-252.07861,52,16.526666
-268.337302,52,16.534884
-249.839049,52,16.543023
-272.174419,52,16.589197
-270.921514,52,16.597491
-269.463861,52,16.605714
-272.248431,52,16.613862
-270.778716,52,16.659816
-280.085401,52,16.668122
-270.996918,52,16.6763
-251.182499,52,16.684524
-255.975139,52,16.692868
-255.223576,52,16.739145
-309.274376,52,16.747445
-277.61441,52,16.755761
-498.174665,52,16.763968
-251.996948,52,16.772246
-274.039941,52,16.818189
-258.688702,52,16.826465
-277.508657,52,16.834734
-276.625079,52,16.843116
-284.287098,52,16.851418
-278.35523,52,16.897599
-284.22978,52,16.906087
-302.400501,52,16.914292
-266.759093,52,16.922581
-284.308611,52,16.930803
-262.781623,52,16.977311
-302.22309,52,16.985735
-273.881995,52,16.993913
-354.783901,52,17.002216
-283.558123,52,17.010446
-286.621445,52,17.056461
-274.800045,52,17.06471
-273.816642,52,17.073084
-271.223302,52,17.081312
-264.507606,52,17.089667
-291.059618,52,17.136032
-395.873307,52,17.144293
-262.292543,52,17.15258
-284.218706,52,17.160846
-274.755101,52,17.169112
-293.478751,52,17.215126
-285.179808,52,17.223592
-284.264838,52,17.232065
