#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-1117.433811,52,9.442921
-774.960003,52,9.454875
-478.106445,52,9.466871
-525.402572,52,9.479022
-573.907811,52,9.491461
-1109.436468,52,9.503795
-309.098591,52,9.515837
-242.569639,52,9.528557
-218.246488,52,9.540705
-772.109881,52,9.552768
-252.764942,52,9.564754
-996.096135,52,9.577019
-1535.171598,52,9.589546
-267.812303,52,9.601806
-324.958831,52,9.613682
-277.469721,52,9.626423
-662.524885,52,9.638623
-657.515168,52,9.650678
-675.73303,52,9.662623
-533.123222,52,9.674949
-461.282553,52,9.687259
-1086.263577,52,9.699182
-444.90668,52,9.71143
-490.160449,52,9.724102
-227.85749,52,9.736541
-205.382196,52,9.748577
-192.598867,52,9.760438
-349.836923,52,9.773319
-207.926945,52,9.785557
-813.895773,52,9.797386
-237.474797,52,9.809312
-305.646421,52,9.822303
-185.285547,52,9.834455
-621.030463,52,9.846515
-197.181655,52,9.858381
-213.132994,52,9.871353
-572.73067,52,9.883459
-740.66538,52,9.895707
-184.197148,52,9.90758
-170.002576,52,9.920237
-202.250336,52,9.9323
-251.305516,52,9.944496
-319.544565,52,9.956342
-355.07219,52,9.969558
-273.129337,52,9.981558
-180.938077,52,9.993502
-391.829284,52,10.005467
-188.415246,52,10.018024
-202.882886,52,10.030268
-1318.400438,52,10.042642
-394.998029,52,10.054621
-373.938426,52,10.06728
-175.878641,52,10.079303
-540.993907,52,10.091234
-457.144244,52,10.1031
-266.456001,52,10.115169
-297.164581,52,10.127553
-601.304194,52,10.13993
-528.374214,52,10.152081
-305.358499,52,10.164775
-448.124583,52,10.17706
-243.905802,52,10.189011
-609.643213,52,10.200976
-178.387581,52,10.213188
-190.849753,52,10.22568
-172.418677,52,10.237854
-1278.937018,52,10.249916
-778.592806,52,10.262522
-232.950445,52,10.274727
-768.747152,52,10.286734
-376.694108,52,10.298573
-245.757693,52,10.310705
-290.458092,52,10.323004
-293.425577,52,10.335275
-623.540094,52,10.347241
-782.777529,52,10.359785
-472.928987,52,10.372046
-233.93883,52,10.384033
-619.433289,52,10.395875
-296.850155,52,10.407998
-239.16411,52,10.42015
-546.884124,52,10.432161
-328.229232,52,10.444494
-211.758388,52,10.458142
-618.542765,52,10.470568
-155.882894,52,10.482589
-317.448418,52,10.494394
-795.996618,52,10.506625
-363.416825,52,10.518796
-684.160576,52,10.530919
-385.378601,52,10.543006
-844.571875,52,10.555784
-312.327222,52,10.567971
-816.979453,52,10.579857
-521.098248,52,10.59167
-404.6018,52,10.604626
-669.542349,52,10.616847
-767.400015,52,10.628963
-295.949063,52,10.64115
-383.793918,52,10.653679
-402.826437,52,10.66565
-240.630551,52,10.677861
-767.318949,52,10.68976
-190.183914,52,10.70258
-683.586563,52,10.714728
-925.67333,52,10.726843
-710.209099,52,10.738894
-225.245884,52,10.751536
-357.54551,52,10.763775
-232.132366,52,10.775637
-279.867694,52,10.787764
-315.689858,52,10.800483
-781.720202,52,10.812545
-402.610043,52,10.82447
-419.095379,52,10.85113
-556.789862,52,10.866554
-337.217408,52,10.880529
-478.418887,52,10.892446
-411.595211,52,10.904399
-290.943742,52,10.916779
-206.579057,52,10.929148
-380.245769,52,10.941423
-463.225993,52,10.953285
-172.654813,52,10.96596
-434.22653,52,10.978262
-282.282035,52,10.990268
-280.124248,52,11.002068
-322.774804,52,11.015563
-368.031079,52,11.029338
-1169.490306,52,11.042243
-861.793986,52,11.054362
-258.565569,52,11.06753
-303.869348,52,11.079764
-575.555246,52,11.09182
-738.843008,52,11.103699
-611.505818,52,11.115964
-1356.444189,52,11.128418
-425.263889,52,11.140654
-174.911354,52,11.152643
-394.045289,52,11.165422
-270.811873,52,11.177632
-197.039713,52,11.189415
-1494.990621,52,11.20135
-819.754352,52,11.213606
-553.121373,52,11.226155
-325.626159,52,11.238542
-199.725159,52,11.250488
-200.950727,52,11.262944
