rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/loss,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps
-342.87071991000005,16432,0.001,12.46270751953125,316,4082,0.2194799999999999,52.0,3,4559
-340.07501999,16640,0.001,6.943215370178223,320,4134,0.2096,52.0,3,4558
-333.00846408999996,16848,0.001,6.309713363647461,324,4186,0.19972000000000034,52.0,3,4557
-326.43168177,17056,0.001,12.662958145141602,328,4238,0.1898399999999999,52.0,3,4555
-329.93307159000005,17264,0.001,7.121032238006592,332,4290,0.17996,52.0,3,4554
-328.9077912,17472,0.001,3.992119312286377,336,4342,0.17008000000000012,52.0,3,4550
-314.91690299,17680,0.001,4.337522029876709,340,4394,0.1601999999999998,52.0,3,4548
-307.18393416,17888,0.001,10.13304615020752,344,4446,0.1503199999999999,52.0,3,4545
-305.92045661000003,18096,0.001,10.14023208618164,348,4498,0.14044,52.0,3,4543
-312.42210680000005,18304,0.001,18.845521926879883,352,4550,0.13056000000000012,52.0,4,4540
-311.11862541,18512,0.001,10.01860237121582,356,4602,0.12068000000000034,52.0,4,4537
-309.52544388999996,18720,0.001,6.399903774261475,360,4654,0.1107999999999999,52.0,4,4535
-309.42148721999996,18928,0.001,11.168577194213867,364,4706,0.10092000000000001,52.0,4,4532
-307.55811254,19136,0.001,10.000499725341797,368,4758,0.09104000000000023,52.0,4,4530
-303.66672421000004,19344,0.001,5.493101119995117,372,4810,0.08115999999999979,52.0,4,4527
-300.92597893,19552,0.001,10.931984901428223,376,4862,0.0712799999999999,52.0,4,4525
-297.57498057,19760,0.001,8.924554824829102,380,4914,0.06140000000000001,52.0,4,4522
-295.41341613000003,19968,0.001,7.312044620513916,384,4966,0.05152000000000034,52.0,4,4519
-300.47464367,20176,0.001,3.8192877769470215,388,5018,0.05,52.0,4,4516
-297.8069323,20384,0.001,5.877226829528809,392,5070,0.05,52.0,4,4514
-289.25937278,20592,0.001,9.50268268585205,396,5122,0.05,52.0,4,4511
-290.17587428,20800,0.001,12.712249755859375,400,5174,0.05,52.0,4,4509
-295.14979638999995,21008,0.001,10.205041885375977,404,5226,0.05,52.0,4,4506
-295.06747657999995,21216,0.001,10.62639331817627,408,5278,0.05,52.0,4,4503
-291.41216707,21424,0.001,7.7415924072265625,412,5330,0.05,52.0,4,4501
-290.05285262999996,21632,0.001,5.722277641296387,416,5382,0.05,52.0,4,4498
-289.78735171,21840,0.001,6.41066837310791,420,5434,0.05,52.0,4,4496
-285.0611903,22048,0.001,6.7515997886657715,424,5486,0.05,52.0,4,4493
-286.63155787,22256,0.001,4.910682678222656,428,5538,0.05,52.0,4,4491
-279.11379716,22464,0.001,6.12287712097168,432,5590,0.05,52.0,5,4489
-280.19324937,22672,0.001,9.368663787841797,436,5642,0.05,52.0,5,4486
-279.89493353,22880,0.001,10.822790145874023,440,5694,0.05,52.0,5,4484
-282.49498342,23088,0.001,6.628252983093262,444,5746,0.05,52.0,5,4482
-281.1021687,23296,0.001,3.441164493560791,448,5798,0.05,52.0,5,4480
-280.91045708999997,23504,0.001,6.461123466491699,452,5850,0.05,52.0,5,4478
-282.97607981,23712,0.001,4.47713565826416,456,5902,0.05,52.0,5,4476
-285.41826075000006,23920,0.001,9.53742504119873,460,5954,0.05,52.0,5,4474
-285.68488586999996,24128,0.001,7.98896598815918,464,6006,0.05,52.0,5,4472
-291.06685007,24336,0.001,5.20476770401001,468,6058,0.05,52.0,5,4470
-290.97275195000003,24544,0.001,11.429404258728027,472,6110,0.05,52.0,5,4468
-292.76489867,24752,0.001,9.915821075439453,476,6162,0.05,52.0,5,4467
-304.38271069,24960,0.001,9.881957054138184,480,6214,0.05,52.0,5,4465
-319.73163065,25168,0.001,8.862746238708496,484,6266,0.05,52.0,5,4462
-318.51867719999996,25376,0.001,4.9989118576049805,488,6318,0.05,52.0,5,4460
-322.70684809,25584,0.001,3.1028330326080322,492,6370,0.05,52.0,5,4459
-324.30387588,25792,0.001,5.551047325134277,496,6422,0.05,52.0,5,4457
-322.50142477,26000,0.001,7.133065223693848,500,6474,0.05,52.0,5,4455
-316.70231382000003,26208,0.001,8.649360656738281,504,6526,0.05,52.0,5,4454
-324.70865268,26416,0.001,10.551345825195312,508,6578,0.05,52.0,5,4453
-330.19617921000014,26624,0.001,15.879019737243652,512,6630,0.05,52.0,5,4452
-334.19108788000005,26832,0.001,9.823420524597168,516,6682,0.05,52.0,6,4450
-336.84889598000007,27040,0.001,4.011636734008789,520,6734,0.05,52.0,6,4448
-339.52561158000003,27248,0.001,7.087983131408691,524,6786,0.05,52.0,6,4447
-341.2125969400001,27456,0.001,7.327754497528076,528,6838,0.05,52.0,6,4445
-346.88415715,27664,0.001,9.90149211883545,532,6890,0.05,52.0,6,4444
-347.53233091999994,27872,0.001,6.217390060424805,536,6942,0.05,52.0,6,4442
-362.91202223,28080,0.001,7.246569633483887,540,6994,0.05,52.0,6,4441
-364.42068242,28288,0.001,11.71794319152832,544,7046,0.05,52.0,6,4439
-373.85190916,28496,0.001,8.19205379486084,548,7098,0.05,52.0,6,4438
-369.28895907,28704,0.001,9.105918884277344,552,7150,0.05,52.0,6,4437
-376.75820240999997,28912,0.001,10.165105819702148,556,7202,0.05,52.0,6,4435
